Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Adenocarcinoma of lung (disorder)	C0152013	KLF15	28999	Q9UIH9	Kruppel like factor 15	Nucleic acid binding	80	0.592	0.654	0.48843	0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	NXT1	29107	Q9UKK6	nuclear transport factor 2 like export factor 1		178	0.505	0.731	0.64574	0.02		1.0	2	0	2004.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	UHRF1	29128	Q96T88	ubiquitin like with PHD and ring finger domains 1		125	0.54	0.692		0.02		1.0	2	0	2011.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GRP	2922	P07492	gastrin releasing peptide		172	0.524	0.769	0.0025347	0.02		1.0	2	0	2000.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GSN	2934	P06396	gelsolin	Cellular structure	262	0.475	0.885	3.8905e-11	0.02		1.0	2	0	2012.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	UBQLN1	29979	Q9UMX0	ubiquilin 1		49	0.65	0.423	0.99884	0.02		1.0	2	0	2007.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GZMB	3002	P10144	granzyme B	Enzyme	290	0.453	0.808	3.6674e-14	0.02		1.0	2	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CFHR1	3078	Q03591	complement factor H related 1		90	0.588	0.615	2.6297e-08	0.02		1.0	2	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ERVW-1	30816	Q9UQF0	endogenous retrovirus group W member 1, envelope		193	0.505	0.692		0.02		1.0	2	0	2014.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	CELIAC2	317782		celiac disease 2		40	0.653	0.577		0.02		1.0	2	0	2012.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	HOXA9	3205	P31269	homeobox A9		147	0.521	0.692	4.3591e-05	0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	HOXB2	3212	P14652	homeobox B2		52	0.612	0.577	0.00014636	0.02		1.0	2	0	2007.0	2008.0
Adenocarcinoma of lung (disorder)	C0152013	HOXB3	3213	P14651	homeobox B3		49	0.631	0.615	0.8917	0.02		1.0	2	0	2009.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	HOXB7	3217	P09629	homeobox B7	Transcription factor	93	0.57	0.615	0.00028382	0.02		1.0	2	0	2014.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	HSPA4	3308	P34932	heat shock protein family A (Hsp70) member 4		550	0.394	0.923	0.99954	0.02		1.0	2	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	XIAP	331	P98170	X-linked inhibitor of apoptosis	Enzyme modulator	321	0.447	0.808	0.91837	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	HSPB2	3316	Q16082	heat shock protein family B (small) member 2		290	0.457	0.769	0.00032989	0.02		1.0	2	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	HTC2	3342		hypertrichosis 2 (generalized, congenital)		511	0.392	0.808		0.02		1.0	2	0	2006.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	ID3	3399	Q02535	inhibitor of DNA binding 3, HLH protein	Transcription factor	67	0.615	0.692	0.72177	0.02		1.0	2	0	2012.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ID4	3400	P47928	inhibitor of DNA binding 4, HLH protein	Transcription factor	86	0.59	0.615	0.031243	0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	IFI27	3429	P40305	interferon alpha inducible protein 27		332	0.437	0.769	0.010698	0.02		0.5	2	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.02		1.0	2	0	2011.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	IGF2	3481	P01344	insulin like growth factor 2		604	0.39	0.885	0.044127	0.02		1.0	2	0	2001.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	IGFBP3	3486	P17936	insulin like growth factor binding protein 3	Enzyme modulator	350	0.439	0.808	0.91029	0.02		0.5	2	0	2004.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	IGFBP7	3490	Q16270	insulin like growth factor binding protein 7		241	0.476	0.769	0.0012873	0.02		1.0	2	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	APRT	353	P07741	adenine phosphoribosyltransferase		384	0.423	0.846	5.4539e-13	0.02		0.5	2	0	1993.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	TICAM2	353376	Q86XR7;Q9Y3B3	toll like receptor adaptor molecule 2		332	0.438	0.769	0.0025936	0.02		0.5	2	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	FAS	355	P25445	Fas cell surface death receptor		754	0.372	0.923	0.8117	0.02		1.0	2	0	1998.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	IKBKB	3551	O14920	inhibitor of nuclear factor kappa B kinase subunit beta	Kinase	191	0.506	0.846	0.99192	0.02		1.0	2	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	IL2	3558	P60568	interleukin 2		950	0.336	0.885	0.47968	0.02		1.0	2	0	1995.0	1997.0
Adenocarcinoma of lung (disorder)	C0152013	IL9	3578	P15248	interleukin 9		291	0.461	0.846	8.1087e-07	0.02		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CXCR2	3579	P25025	C-X-C motif chemokine receptor 2	G-protein coupled receptor	335	0.445	0.923	0.013736	0.02		1.0	2	0	2011.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	IL12RB2	3595	Q99665	interleukin 12 receptor subunit beta 2	Signaling	59	0.608	0.692	1.6212e-09	0.02		1.0	2	0	2009.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	AQP3	360	Q92482	aquaporin 3 (Gill blood group)	Ion channel	124	0.546	0.769	0.13398	0.02		1.0	2	0	2007.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	INHBA	3624	P08476	inhibin subunit beta A	Signaling	83	0.601	0.615	0.97979	0.02		1.0	2	0	2009.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	IRS1	3667	P35568	insulin receptor substrate 1		233	0.488	0.769	0.023645	0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	AR	367	P10275	androgen receptor	Nuclear receptor	854	0.351	0.846	0.98837	0.02		1.0	2	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	JUN	3725	P05412	Jun proto-oncogene, AP-1 transcription factor subunit	Transcription factor	344	0.442	0.885	0.05962	0.02		1.0	2	0	2005.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TRIM23	373	P36406	tripartite motif containing 23		26	0.716	0.308	0.0003937	0.02		1.0	2	0	2005.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	GSTK1	373156	Q9Y2Q3	glutathione S-transferase kappa 1		445	0.412	0.885	1.9374e-06	0.02		1.0	2	0	2000.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	CD82	3732	P27701	CD82 molecule		172	0.507	0.731	1.2726e-08	0.02		1.0	2	0	1999.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	KRT5	3852	P13647	keratin 5		203	0.512	0.731	0.64172	0.02		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	LDHB	3945	P07195	lactate dehydrogenase B	Enzyme	74	0.604	0.615	4.9734e-06	0.02		1.0	2	0	2013.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	LGALS3	3958	P17931	galectin 3	Signaling	557	0.392	0.846	2.3207e-05	0.02		1.0	2	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	LGALS4	3960	P56470	galectin 4	Signaling	73	0.599	0.731	2.7538e-07	0.02		1.0	2	0	2012.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	LOXL2	4017	Q9Y4K0	lysyl oxidase like 2		149	0.527	0.731	3.3844e-07	0.02		1.0	2	0	2012.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	LPP	4026	Q93052	LIM domain containing preferred translocation partner in lipoma	Enzyme modulator	131	0.543	0.769	0.0071908	0.02		1.0	2	1	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	LINC01194	404663		long intergenic non-protein coding RNA 1194		249	0.47	0.769		0.02		1.0	2	0	2010.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	LUM	4060	P51884	lumican		123	0.543	0.731	0.07696	0.02		1.0	2	0	2008.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	MIRLET7C	406885		microRNA let-7c		154	0.514	0.808		0.02		1.0	2	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	MIR100	406892		microRNA 100		146	0.521	0.846		0.02		1.0	2	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	MIR106A	406899		microRNA 106a		140	0.524	0.846		0.02		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MIR134	406924		microRNA 134		126	0.542	0.769		0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR136	406927		microRNA 136		79	0.584	0.731		0.02		1.0	2	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MIR137	406928		microRNA 137		171	0.513	0.846		0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR140	406932		microRNA 140		144	0.522	0.769		0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR143	406935		microRNA 143		267	0.462	0.885		0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR146A	406938		microRNA 146a		505	0.398	0.885		0.02		1.0	2	1	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MIR15A	406948		microRNA 15a		221	0.482	0.808		0.02		1.0	2	0	2010.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MIR17	406952		microRNA 17		270	0.459	0.846		0.02		1.0	2	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR186	406962		microRNA 186		105	0.551	0.808		0.02		1.0	2	0	2013.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR192	406967		microRNA 192		173	0.503	0.846		0.02		0.5	2	0	2010.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MIR204	406987		microRNA 204		203	0.487	0.808		0.02		1.0	2	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR22	407004		microRNA 22		195	0.496	0.808		0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MIR221	407006		microRNA 221		304	0.449	0.846		0.02		1.0	2	0	2012.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MIR222	407007		microRNA 222		210	0.486	0.808		0.02		1.0	2	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MIR224	407009		microRNA 224		128	0.534	0.654		0.02		1.0	2	0	2014.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MIR33A	407039		microRNA 33a		100	0.56	0.654		0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ARRB1	408	P49407	arrestin beta 1	Enzyme modulator	92	0.588	0.846	0.99394	0.02		1.0	2	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MCM4	4173	P33991	minichromosome maintenance complex component 4	Enzyme	43	0.666	0.654	0.00014571	0.02		1.0	2	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MEN1	4221	O00255	menin 1		364	0.444	0.808	0.99971	0.02		1.0	2	0	2009.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	MFAP1	4236	P55081	microfibril associated protein 1	Extracellular structure	357	0.431	0.846	0.79602	0.02		0.5	2	0	1993.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	MKI67	4288	P46013	marker of proliferation Ki-67		351	0.431	0.808	1.2598e-28	0.02		1.0	2	0	2010.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	NR3C2	4306	P08235	nuclear receptor subfamily 3 group C member 2	Nuclear receptor	287	0.469	0.846	0.83739	0.02		1.0	2	0	2019.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	MMP10	4319	P09238	matrix metallopeptidase 10	Enzyme	123	0.553	0.808	5.907e-15	0.02		1.0	2	0	2009.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	MMP11	4320	P24347	matrix metallopeptidase 11	Enzyme	130	0.542	0.692	2.4125e-05	0.02		1.0	2	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MMP14	4323	P50281	matrix metallopeptidase 14	Enzyme	340	0.447	0.769	0.99522	0.02		1.0	2	0	2009.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MMP15	4324	P51511	matrix metallopeptidase 15	Enzyme	54	0.644	0.5	0.073354	0.02		1.0	2	0	2004.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	MPO	4353	P05164	myeloperoxidase	Enzyme	653	0.377	0.923	7.105e-15	0.02		0.5	2	0	2002.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00857	439990		long intergenic non-protein coding RNA 857		11	0.821	0.192		0.02		1.0	2	0	2016.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	MIR135B	442891		microRNA 135b		111	0.554	0.731		0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR339	442907		microRNA 339		61	0.608	0.615		0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MIR372	442917		microRNA 372		72	0.593	0.615		0.02		1.0	2	0	2012.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MSH2	4436	P43246	mutS homolog 2	Nucleic acid binding	490	0.406	0.808	0.89539	0.02		1.0	2	0	2006.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	MSN	4478	P26038	moesin	Cellular structure	140	0.534	0.769	0.99967	0.02		1.0	2	0	2000.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	MTHFR	4524	P42898	methylenetetrahydrofolate reductase		985	0.337	0.885	3.2068e-10	0.02		1.0	2	2	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MTTP	4547	P55157	microsomal triglyceride transfer protein	Transporter	209	0.505	0.846	1.04e-05	0.02		1.0	2	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MMUT	4594	P22033	methylmalonyl-CoA mutase	Enzyme	147	0.534	0.731	1.7087e-22	0.02		0.5	2	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MYBPH	4608	Q13203	myosin binding protein H		33	0.678	0.577	2.2535e-13	0.02		1.0	2	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	MYCL	4610	P12524	MYCL proto-oncogene, bHLH transcription factor	Transcription factor	79	0.599	0.731	0.11551	0.02		1.0	2	1	1991.0	2004.0
Adenocarcinoma of lung (disorder)	C0152013	NDUFC2	4718	O95298	NADH:ubiquinone oxidoreductase subunit C2	Enzyme	8	0.805	0.308	0.68071	0.02		1.0	2	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	NEDD4	4734	P46934	NEDD4 E3 ubiquitin protein ligase	Enzyme	101	0.569	0.846	8.7208e-13	0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SUMO1P3	474338		SUMO1 pseudogene 3		20	0.736	0.192		0.02		1.0	2	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	NEK2	4751	P51955	NIMA related kinase 2	Kinase	103	0.572	0.692	1.1514e-06	0.02		1.0	2	0	2008.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	NF1	4763	P21359	neurofibromin 1	Enzyme modulator	380	0.44	0.885	0.90175	0.02		1.0	2	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	NF2	4771	P35240	neurofibromin 2		312	0.468	0.885	1.0	0.02		1.0	2	0	2002.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	YBX1	4904	P67809	Y-box binding protein 1		148	0.519	0.769	0.94646	0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	NTRK1	4914	P04629	neurotrophic receptor tyrosine kinase 1	Kinase	443	0.422	0.808	1.9568e-06	0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	NTSR1	4923	P30989	neurotensin receptor 1	G-protein coupled receptor	124	0.563	0.692	1.928e-08	0.02		1.0	2	0	2010.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	MIR375	494324		microRNA 375		226	0.476	0.769		0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MIR381	494330		microRNA 381		79	0.584	0.654		0.02		1.0	2	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR423	494335		microRNA 423		91	0.566	0.769		0.02		1.0	2	1	2016.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	MIR425	494337		microRNA 425		78	0.581	0.654		0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PAK1	5058	Q13153	p21 (RAC1) activated kinase 1	Kinase	221	0.494	0.808	0.0013306	0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PRKN	5071	O60260	parkin RBR E3 ubiquitin protein ligase	Enzyme	409	0.431	0.846	6.9346e-07	0.02		1.0	2	0	2012.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	TAS2R13	50838	Q9NYV9	taste 2 receptor member 13	G-protein coupled receptor	46	0.653	0.615		0.02		1.0	2	0	2013.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	F11R	50848	Q9Y624	F11 receptor		127	0.542	0.731	1.8487e-05	0.02		1.0	2	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	TMED7	51014	Q86XR7;Q9Y3B3	transmembrane p24 trafficking protein 7	Transporter	336	0.436	0.808	0.47966	0.02		0.5	2	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SF3B6	51639	Q9Y3B4	splicing factor 3b subunit 6		116	0.544	0.808	0.58902	0.02		1.0	2	0	2004.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GINS2	51659	Q9Y248	GINS complex subunit 2	Enzyme	51	0.638	0.577	1.5745e-08	0.02		1.0	2	0	2013.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	PDK4	5166	Q16654	pyruvate dehydrogenase kinase 4	Kinase	85	0.578	0.577	9.142e-12	0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SLC25A3	5250	Q00325	solute carrier family 25 member 3	Transporter	112	0.566	0.692	0.074834	0.02		1.0	2	0	2000.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SERPINA1	5265	P01009	serpin family A member 1	Enzyme modulator	482	0.41	0.923	6.8497e-08	0.02		1.0	2	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	PIP	5304	P12273	prolactin induced protein		109	0.556	0.808	0.00068286	0.02		1.0	2	0	2009.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PLA2G2A	5320	P14555	phospholipase A2 group IIA	Enzyme	215	0.488	0.808	0.097278	0.02		1.0	2	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	LRP1B	53353	Q9NZR2	LDL receptor related protein 1B		63	0.626	0.615	2.5267e-06	0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SNTG1	54212	Q9NSN8	syntrophin gamma 1		9	0.792	0.192	0.1634	0.02		1.0	2	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RBM47	54502	A0AV96	RNA binding motif protein 47		22	0.729	0.308	0.98493	0.02		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	IMP3	55272	Q9NV31	IMP U3 small nucleolar ribonucleoprotein 3	Nucleic acid binding	97	0.566	0.462	1.5469e-07	0.02		1.0	2	0	2014.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MIR31HG	554202		MIR31 host gene		44	0.65	0.462		0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MIR429	554210		microRNA 429		117	0.544	0.731		0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PRKAA1	5562	Q13131	protein kinase AMP-activated catalytic subunit alpha 1	Kinase	325	0.453	0.846	0.13725	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PRKAA2	5563	P54646	protein kinase AMP-activated catalytic subunit alpha 2	Kinase	317	0.456	0.846	3.5282e-08	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PRKAB1	5564	Q9Y478	protein kinase AMP-activated non-catalytic subunit beta 1	Kinase	296	0.46	0.846	0.0052573	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PRKAR1A	5573	P10644	protein kinase cAMP-dependent type I regulatory subunit alpha		597	0.401	0.846	0.99985	0.02		1.0	2	0	2015.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PAG1	55824	Q9NWQ8	phosphoprotein membrane anchor with glycosphingolipid microdomains 1		174	0.505	0.808	0.017764	0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PRKCI	5584	P41743	protein kinase C iota	Kinase	78	0.584	0.5	0.067986	0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ACTR10	55860	Q9NZ32	actin related protein 10	Cellular structure	2	1.0	0.038	0.0015053	0.02		1.0	2	0	2001.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	PBK	55872	Q96KB5	PDZ binding kinase	Kinase	121	0.541	0.769	1.2188e-06	0.02		1.0	2	0	2015.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	LMO3	55885	Q8TAP4	LIM domain only 3		26	0.716	0.423	0.70695	0.02		1.0	2	0	2013.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MYDGF	56005	Q969H8	myeloid derived growth factor		295	0.451	0.846	3.4923e-06	0.02		1.0	2	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	BEX4	56271	Q9NWD9	brain expressed X-linked 4		15	0.76	0.231	0.67195	0.02		1.0	2	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CCL28	56477	Q9NRJ3	C-C motif chemokine ligand 28		85	0.587	0.769	0.051599	0.02		1.0	2	0	2014.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RETN	56729	Q9HD89	resistin		302	0.454	0.808	0.036545	0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ACKR3	57007	P25106	atypical chemokine receptor 3	G-protein coupled receptor	400	0.428	0.885	0.39134	0.02		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	PCBP4	57060	P57723	poly(rC) binding protein 4	Enzyme	147	0.523	0.808	0.0023713	0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PSMD2	5708	Q13200	proteasome 26S subunit, non-ATPase 2	Enzyme modulator	64	0.612	0.692	1.0	0.02		1.0	2	0	2011.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	PSMD9	5715	O00233	proteasome 26S subunit, non-ATPase 9	Enzyme modulator	344	0.435	0.846	4.8603e-06	0.02		0.5	2	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	ACTR3B	57180	Q9P1U1	actin related protein 3B	Cellular structure	4	0.89	0.154	0.99911	0.02		1.0	2	0	2001.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	MIR363	574031		microRNA 363		83	0.578	0.692		0.02		1.0	2	0	2017.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	PTHLH	5744	P12272	parathyroid hormone like hormone		321	0.453	0.846	0.81146	0.02		1.0	2	0	2009.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	PTK2	5747	Q05397	protein tyrosine kinase 2	Kinase	205	0.497	0.808	0.99987	0.02		1.0	2	0	2013.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PTN	5764	P21246	pleiotrophin	Signaling	164	0.515	0.808	0.0075073	0.02		1.0	2	0	2009.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	TRIB3	57761	Q96RU7	tribbles pseudokinase 3	Kinase	104	0.573	0.692	1.1597e-13	0.02		1.0	2	0	2013.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	PTPRG	5793	P23470	protein tyrosine phosphatase receptor type G	Enzyme	70	0.619	0.731	5.0736e-06	0.02		1.0	2	0	2015.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RAC3	5881	P60763	Rac family small GTPase 3	Enzyme modulator	44	0.682	0.423	0.0026125	0.02		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RAD52	5893	P43351	RAD52 homolog, DNA repair protein	Nucleic acid binding	63	0.61	0.654	7.1128e-11	0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RBM3	5935	P98179	RNA binding motif protein 3	Nucleic acid binding	73	0.595	0.654	0.82616	0.02		1.0	2	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	OPN1LW	5956	P04000	opsin 1, long wave sensitive	G-protein coupled receptor	197	0.497	0.808	0.97535	0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RDX	5962	P35241	radixin	Cellular structure	80	0.593	0.615	0.85245	0.02		1.0	2	0	2000.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	RELB	5971	Q01201	RELB proto-oncogene, NF-kB subunit	Transcription factor	72	0.597	0.731	0.994	0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RIT1	6016	Q92963	Ras like without CAAX 1	Enzyme modulator	184	0.527	0.808	0.13281	0.02		1.0	2	0	2014.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ROCK1	6093	Q13464	Rho associated coiled-coil containing protein kinase 1	Kinase	157	0.513	0.731	1.0	0.02		1.0	2	0	2012.0	2019.0
